#Doppelspalt
#22.2-84.7cm=62.5cm
#Noise beträgt 8nA
#Nullpunkt bei 27.42mm entspricht genau 27mm
#b=0.15mm g=0.25mm
#Schritte in a=0.1mm
#Intensität [nA]	Abstand von Hauptmaxima [mm]
36	-2.265
46	-2.165
45	-2.065
44	-1.965
41	-1.865
42	-1.765
42	-1.665
41	-1.565
44	-1.465
43	-1.365
42	-1.265
45	-1.165
46	-1.065
43	-0.965
46	-0.865
50	-0.765
49	-0.665
61	-0.565
64	-0.465
74	-0.365
90	-0.265
89	-0.165
89	-0.065
86	0.035
85	0.135
86	0.235
86	0.335
86	0.435
86	0.535
89	0.635
85	0.735
66	0.835
50	0.935
40	1.035
34	1.135
31	1.235
33	1.335
34	1.435
38	1.535
39	1.635
38	1.735
34	1.835
32	1.935
27	2.035
22	2.135
18	2.235
