#Einfachspalt
#0.075mm Spaltbreite
#62.5cm Abstand
#8nA Noise
#Schritte in a=0.3mm
#Hauptmaxima bei 27mm mit 0 als 0.42mm
#Intensität [nA]	Abstand vom Hauptmaxima [mm]
13	-9.14
12	-8.84
11	-8.54
11	-8.24
12	-7.94
12	-7.64
12	-7.34
14	-7.04
14	-6.74
15	-6.44
16	-6.14
17	-5.84
18	-5.54
18	-5.24
17	-4.95
17	-4.64
16	-4.34
15	-4.04
15	-3.74
15	-3.44
16	-3.14
19	-2.84
22	-2.54
26	-2.24
32	-1.95
39	-1.64
46	-1.34
54	-1.04
62	-0.74
67	-0.44
73	-0.14
79	0.16
83	0.46
86	0.76
88	1.06
88	1.36
85	1.66
82	1.96
79	2.26
74	2.56
69	2.86
63	3.16
57	3.46
51	3.76
46	4.06
42	4.36
38	4.66
35	4.96
32	5.26
28	5.56
25	5.86
23	6.16
20	6.46
19	6.76
17	7.06
15	7.36
13	7.66
12	7.96
11	8.26
10	8.56
9	8.86
8	9.16
